ts_utc,dex,symbol,funding_1h,apr_pct,mark,oi_usd,day_vlm_usd
2026-07-30T01:24:22Z,hyna,hyna:XRP,0.0000125000,10.95,1.0734,37161,3177
2026-07-30T01:24:22Z,hyna,hyna:BNB,0.0000123526,10.821,572.75,28784,10001
2026-07-30T01:24:22Z,hyna,hyna:DOGE,0.0000125000,10.95,0.070423,40623,10097
2026-07-30T01:24:22Z,hyna,hyna:SUI,0.0000125000,10.95,0.68595,23041,0
2026-07-30T01:24:22Z,hyna,hyna:PUMP,-0.0000549747,-48.158,0.001877,135464,1527
2026-07-30T01:24:22Z,hyna,hyna:FARTCOIN,0.0000125000,10.95,0.12169,25822,8957
2026-07-30T01:24:22Z,hyna,hyna:ENA,0.0001342456,117.599,0.078311,461371,154073
2026-07-30T01:24:22Z,hyna,hyna:LTC,0.0000081094,7.104,45.262,62018,53
2026-07-30T01:24:22Z,hyna,hyna:LINK,0.0000041967,3.676,8.338,25087,11
2026-07-30T01:24:22Z,hyna,hyna:XPL,0.0000125000,10.95,0.078305,19393,29
2026-07-30T01:24:22Z,hyna,hyna:ADA,0.0000125000,10.95,0.163,23314,1432
2026-07-30T01:24:22Z,hyna,hyna:1000PEPE,-0.0001087305,-95.248,0.002726,33223,511
2026-07-30T01:24:22Z,hyna,hyna:BASED,0.0000345468,30.263,0.08,64487,1348
2026-07-30T01:24:22Z,para,para:TOTAL2,0.0000344252,30.156,885.658,210494,14988
2026-07-30T01:24:22Z,para,para:OTHERS,0.0000463790,40.628,156.89,325525,302
2026-07-30T01:24:22Z,para,para:BTCD,-0.0000130152,-11.401,59.092,664726,45834
2026-07-30T01:24:22Z,para,para:AVGO,0.0000075000,6.57,375.74,120861,3381
2026-07-30T01:24:22Z,para,para:COHR,0.0000421470,36.921,226.9935,138616,23831
2026-07-30T01:24:22Z,para,para:GLW,0.0001315551,115.242,126.205,84108,56278
2026-07-30T01:24:22Z,para,para:CRDO,0.0000177259,15.528,180.9215,101388,131632
2026-07-30T01:24:22Z,para,para:LRCX,0.0001080309,94.635,275.265,212411,156792
2026-07-30T01:24:22Z,para,para:STX,-0.0000954275,-83.594,789.82,51308,1007300
2026-07-30T01:24:22Z,para,para:IREN,0.0000443633,38.862,30.4375,93405,164917
